# Homeowner service wizard overrides (key|Spanish)
What are you seeing?|¿Qué estás viendo?
What area needs washing?|¿Qué área necesita lavado?
What bins should we manage?|¿Qué botes debemos gestionar?
What condition are the items in?|¿En qué condición están los artículos?
What do you want cleaned?|¿Qué quieres que limpien?
What do you want today?|¿Qué necesitas hoy?
What exterior surface do you have?|¿Qué superficie exterior tienes?
What have you noticed?|¿Qué has notado?
What issues do you notice?|¿Qué problemas notas?
What needs extra attention?|¿Qué necesita atención extra?
What needs to be moved?|¿Qué necesita moverse?
What should we look for?|¿Qué debemos buscar?
What we check|Qué revisamos
What we'll check|Qué revisaremos
What would you like to do?|¿Qué te gustaría hacer?
What's the issue?|¿Cuál es el problema?
What's the main issue?|¿Cuál es el problema principal?
What's the size of your move?|¿Qué tan grande es tu mudanza?
When was the exterior last painted?|¿Cuándo se pintó el exterior por última vez?
When was the last flush?|¿Cuándo fue la última descarga?
When were they last cleaned?|¿Cuándo se limpiaron por última vez?
When works best for you?|¿Cuándo te funciona mejor?
When would you like help?|¿Cuándo te gustaría recibir ayuda?
Where is it happening?|¿Dónde está ocurriendo?
Where is the problem?|¿Dónde está el problema?
Where is the water?|¿Dónde está el agua?
Which areas need attention?|¿Qué áreas necesitan atención?
Why it matters|Por qué importa
Why this matters|Por qué esto importa
Why yearly matters|Por qué importa anualmente
Will any item need wall anchoring?|¿Algún artículo necesitará anclaje en la pared?
Within 1 year|Dentro de 1 año
Within 12 months|Dentro de 12 meses
Within the next 7 days|Dentro de los próximos 7 días
Wood rot|Pudrición de madera
Wood siding|Revestimiento de madera
Would you like to keep the same color?|¿Te gustaría mantener el mismo color?
Yard|Patio trasero
Yearly|Anual
You provide the truck.|Tú proporcionas el camión.
You'll also be prompted after major storms.|También recibirás avisos después de tormentas fuertes.
You'll receive confirmation in the app|Recibirás confirmación en la app
16x20x1 or I don't know|16x20x1 o no lo sé
(painted or unpainted)|(pintado o sin pintar)
