HVAC moisture|Humedad HVAC
If detectors are missing, chirping, expired, or not working, include that in the next step.|Si faltan detectores, chirrian, están vencidos o no funcionan, inclúyelo en el siguiente paso.
If the situation gets worse, leave the area and call 911 or emergency support immediately.|Si empeora, abandona el área y llama al 911 o soporte de emergencia de inmediato.
If there is active flooding or a burst pipe, choose|Si hay inundación activa o tubería rota, elige
If there is active leaking or visible storm damage, upload photos in the next step for a faster review.|Si hay fuga activa o daño visible por tormenta, sube fotos en el siguiente paso para una revisión más rápida.
If there is heat, smoke, or a burning smell, choose|Si hay calor, humo u olor a quemado, elige
If there is no cooling or heating during extreme weather, choose|Si no hay frío ni calor durante clima extremo, elige
If you see condensation, drafts, damaged weatherstripping, or insulation gaps, include that in the next step.|Si ves condensación, corrientes, burletes dañados o huecos de aislamiento, inclúyelo en el siguiente paso.
If you see major movement, widening cracks, or unsafe floors, choose|Si ves movimiento importante, grietas que se ensanchan o pisos inseguros, elige
If you see smoke, fire, or active sparking, move away and call|Si ves humo, fuego o chispas activas, aléjate y llama
If you see spreading stains, strong odor, active leak, or visible mold growth, choose|Si ves manchas que se extienden, olor fuerte, fuga activa o moho visible, elige
If you smell burning or see smoke, turn off the system if possible.|Si hueles a quemado o ves humo, apaga el sistema si es posible.
If you smell gas or see active leaking, choose|Si hueles gas o ves fuga activa, elige
If you smell gas or the CO alarm becomes active, leave immediately and|Si hueles gas o la alarma de CO se activa, sal de inmediato y
If your system is smoking or smells like burning, keep it turned off until a provider arrives.|Si tu sistema humea o huele a quemado, mantenlo apagado hasta que llegue un proveedor.
Immediate danger|Peligro inmediato
Indoor coil|Bobina interior
Indoor unit|Unidad interior
Insurance claim|Reclamo de seguro
Interior wall|Pared interior
Intermittent|Intermitente
Intermittent chirp|Chirrido intermitente
Investment goal|Objetivo de inversión
Investor|Inversionista
Is it happening now?|¿Está ocurriendo ahora?
Is moisture active right now?|¿Hay humedad activa ahora mismo?
Is movement or cracking active right now?|¿Hay movimiento o grietas activas ahora mismo?
Is power still on in that area?|¿Sigue la electricidad encendida en esa área?
Is the driveway blocked?|¿Está bloqueada la entrada?
Is the system running right now?|¿El sistema está funcionando ahora?
Is the unit still running?|¿La unidad sigue funcionando?
Is there an active safety risk right now?|¿Hay un riesgo de seguridad activo ahora mismo?
Is there visible moisture or water damage?|¿Hay humedad visible o daño por agua?
Is this happening right now?|¿Esto está ocurriendo ahora mismo?
Is water actively flowing?|¿El agua fluye activamente?
Is water leaking right now?|¿Hay fuga de agua ahora mismo?
Is water still active right now?|¿El agua sigue activa ahora mismo?
Issue|Problema
JPG, PNG, MOV up to 25 MB each|JPG, PNG, MOV hasta 25 MB cada uno
JPG, PNG, MOV, MP4|JPG, PNG, MOV, MP4
JPG, PNG, PDF up to 25 MB|JPG, PNG, PDF hasta 25 MB
JPG, PNG, PDF up to 25 MB each|JPG, PNG, PDF hasta 25 MB cada uno
Keep your phone nearby. If conditions worsen, shut off water if possible and move belongings away from the affected area.|Mantén tu teléfono cerca. Si empeora, cierra el agua si es posible y aleja pertenencias del área afectada.
Keep your phone nearby. If the system smells like burning or is smoking, leave it turned off until help arrives.|Mantén tu teléfono cerca. Si el sistema huele a quemado o humea, déjalo apagado hasta que llegue ayuda.
Kitchen|Cocina
Kitchen issue|Problema en cocina
Kitchen safety|Seguridad en cocina
Laundry|Lavandería
Leak / dripping|Fuga / goteo
Leak concern|Preocupación por fuga
Leak detection|Detección de fugas
Leak under kitchen sink, toilet runs constantly, low water pressure in the shower, main shutoff is hard to turn...|Fuga bajo fregadero, inodoro corre constantemente, baja presión en la ducha, válvula principal difícil de cerrar...
Leak under sink|Fuga bajo fregadero
Leaking tank|Tanque con fuga
Less than 10 years|Menos de 10 años
Less than 5 years|Menos de 5 años
Less than a week|Menos de una semana
Light|Leve
Lights flickering|Luces parpadeando
Living room|Sala
Location|Ubicación
Location &amp; safety|Ubicación y seguridad
Location:|Ubicación:
Locations|Ubicaciones
Lockbox|Caja de llaves
Loose support|Soporte suelto
Low battery chirp|Chirrido por batería baja
Low pressure|Baja presión
Low pressure nearby|Baja presión cercana
Low water pressure|Baja presión de agua
Main area to evaluate|Área principal a evaluar
Main areas to review|Áreas principales a revisar
Main concern|Preocupación principal
Main concerns|Preocupaciones principales
Main goal|Objetivo principal
Main issue|Problema principal
Main shutoff|Cierre principal
Main shutoff valve|Válvula de cierre principal
Main water line|Línea principal de agua
Make sure everything looks right before we dispatch help.|Asegúrate de que todo esté correcto antes de enviar ayuda.
Make sure everything looks right before we schedule your visit.|Asegúrate de que todo esté correcto antes de agendar tu visita.
Medium|Moderado
Metal|Metal
Mild|Leve
Mini split|Mini split
Missing shingles|Tejas faltantes
Moderate|Moderado
Moisture|Humedad
Moisture around window|Humedad alrededor de ventana
Moisture concern|Preocupación por humedad
More than a week|Más de una semana
More than a year|Más de un año
Morning|Mañana
Musty smell|Olor a humedad
Musty smell concern|Preocupación por olor a humedad
Near gas meter|Cerca del medidor de gas
Near power line|Cerca de línea eléctrica
Near window|Cerca de ventana
Need detector check|Necesita revisión de detector
Need help|Necesito ayuda
Negotiate repairs|Negociar reparaciones
Negotiation support|Apoyo para negociación
New cracks|Grietas nuevas
Next|Siguiente
No|No
No airflow|Sin flujo de aire
No change|Sin cambios
No concerns selected|Ninguna preocupación seleccionada
No detectors|Sin detectores
No files uploaded|No se subieron archivos
No heat|Sin calefacción
No hot water|Sin agua caliente
No power|Sin electricidad
No sound|Sin sonido
No utility risk|Sin riesgo de servicios
Noisy unit +|Unidad ruidosa +
Normal|Normal
Not cooling|No enfría
Not heating|No calienta
Not needed|No necesario
Not sure|No estoy seguro
Note|Nota
Notes|Notas
Notes (optional)|Notas (opcional)
Occupancy|Ocupación
Okay to text updates|Está bien enviar actualizaciones por texto
Old manual|Manual antiguo
On my way|En camino
One room|Una habitación
Optional|Opcional
or contact support immediately.|o contacta soporte de inmediato.
Other|Otro
Outdoor condenser|Condensador exterior
Outdoor unit|Unidad exterior
Outdoor unit is running but the house is warm. Thermostat set to 68. No cool air coming out.|La unidad exterior funciona pero la casa está caliente. Termostato en 68. No sale aire frío.
Outlet / basic hazard|Toma / riesgo básico
Outlet / switch issue|Problema de toma / interruptor
Outside|Exterior
Owner occupied|Ocupado por propietario
Panel issue|Problema en panel
Partial outage|Corte parcial
Partially|Parcialmente
PDF or image files|Archivos PDF o imagen
PDF, JPG, PNG|PDF, JPG, PNG
Pets|Mascotas
Photos|Fotos
Photos &amp; callback|Fotos y devolución de llamada
Photos &amp; files|Fotos y archivos
Pilot light / ignition|Llama piloto / encendido
Pipe leaking under sink near kitchen...|Tubería con fuga bajo fregadero cerca de cocina...
Pipe noise|Ruido en tubería
Poor airflow +|Flujo de aire deficiente +
Popping noise|Ruido de estallidos
Power near water|Electricidad cerca del agua
Power status|Estado de electricidad
Preferred access|Acceso preferido
Pressure relief valve|Válvula de alivio de presión
Priority|Prioridad
Problem|Problema
Property|Propiedad
Property &amp; Context|Propiedad y contexto
Property address|Dirección de la propiedad
Property type|Tipo de propiedad
Provide more details|Proporciona más detalles
Question 1|Pregunta 1
Question 2|Pregunta 2
Question 3|Pregunta 3
Question 4|Pregunta 4
Question 5|Pregunta 5
Question 6|Pregunta 6
Question 7|Pregunta 7
Question 8|Pregunta 8
Quick answers help us send the right support faster.|Respuestas rápidas nos ayudan a enviar el apoyo adecuado más rápido.
Realtor|Agente inmobiliario
Reason|Motivo
Recent changes|Cambios recientes
Record or upload a short video|Graba o sube un video corto
Rehab budget|Presupuesto de rehabilitación
Rehab level|Nivel de rehabilitación
Rent readiness|Preparación para renta
Repair risk|Riesgo de reparación
Repairs|Reparaciones
Repeated issue +|Problema repetido +
Report|Informe
Reported issue|Problema reportado
Resale potential|Potencial de reventa
Review &amp; Confirm|Revisar y confirmar
Rot or decay|Podredumbre o descomposición
Rusted support|Soporte oxidado
Rusty water|Agua oxidada
Safety|Seguridad
Safety status|Estado de seguridad
Sagging floor|Piso hundido
Save &amp; continue later|Guardar y continuar después
Second opinion|Segunda opinión
Select an emergency service above to view details and request help.|Selecciona un servicio de emergencia arriba para ver detalles y solicitar ayuda.
Select date or timeframe|Selecciona fecha o periodo
Select the visible signs|Selecciona los signos visibles
Selected concern:|Preocupación seleccionada:
Selected issue:|Problema seleccionado:
Send emergency request|Enviar solicitud de emergencia
Seniors|Adultos mayores
Separation gap|Separación / hueco
Service|Servicio
Settlement signs|Signos de asentamiento
Several rooms|Varias habitaciones
Severe|Grave
Severity|Gravedad
Sewer / main drain|Alcantarillado / drenaje principal
Sewer backup|Respaldo de alcantarillado
Short note|Nota breve
Short note (optional)|Nota breve (opcional)
Short note for the electrician|Nota breve para el electricista
Show us the issue so we can prepare the right provider.|Muéstranos el problema para preparar al proveedor adecuado.
Shower / tub|Ducha / tina
Shutoff|Cierre
Shutoff status|Estado del cierre
Side of house|Lado de la casa
Single family|Unifamiliar
Single-family|Unifamiliar
Single-pane|Panel simple
Skip and send|Omitir y enviar
Skip for now|Omitir por ahora
Skip photos|Omitir fotos
Skip to photos|Ir a fotos
Slab|Losas
Slow drain|Desagüe lento
Small area|Área pequeña
Small multifamily|Multifamiliar pequeño
Smart thermostat|Termostato inteligente
Smell of gas|Olor a gas
Smoke &amp; CO Details|Detalles de humo y CO
Smoke / CO detectors|Detectores de humo / CO
Soft floor|Piso blando
Someone arriving soon|Alguien llegará pronto
Sometimes|A veces
Sparks|Chispas
Sparks or burning smell|Chispas u olor a quemado
Specific location|Ubicación específica
Stair / railing concern|Preocupación por escalera / barandal
Stairs &amp; railings|Escaleras y barandales
Stair-step crack|Grieta escalonada
Stairway|Escalera
Standard digital|Digital estándar
Status|Estado
Stay away from hot outlets, exposed wires, or panels with smoke.|Aléjate de tomas calientes, cables expuestos o paneles con humo.
Stay clear of the tree and any power lines until help arrives.|Mantente alejado del árbol y líneas eléctricas hasta que llegue ayuda.
Step 1|Paso 1
Step 1 of 3|Paso 1 de 3
Step 1 of 3 &middot; Describe the damage|Paso 1 de 3 · Describe el daño
Step 2|Paso 2
Step 2 of 3 &middot; Photos and access|Paso 2 de 3 · Fotos y acceso
Step 3|Paso 3
Step 3 of 3 &middot; Review and dispatch|Paso 3 de 3 · Revisar y enviar
Step 4|Paso 4
Sticking doors|Puertas atascadas
Storm damage|Daño por tormenta
Strange noise|Ruido extraño
Street|Calle
Support column|Columna de soporte
Take photo|Tomar foto
Tankless|Sin tanque
Tell us about the flooding|Cuéntanos sobre la inundación
Tell us about your efficiency concern|Cuéntanos sobre tu preocupación de eficiencia
Tell us about your HVAC concern|Cuéntanos sobre tu preocupación HVAC
Tell us about your investment goal|Cuéntanos sobre tu objetivo de inversión
Tell us about your mold or moisture concern|Cuéntanos sobre tu preocupación de moho o humedad
Tell us about your safety concern|Cuéntanos sobre tu preocupación de seguridad
Tell us about your structural concern|Cuéntanos sobre tu preocupación estructural
Tell us anything important|Cuéntanos algo importante
Tell us what happened|Cuéntanos qué pasó
Tell us what's going on so we can send the right pro.|Cuéntanos qué ocurre para enviar al profesional adecuado.
Tell us what's happening|Cuéntanos qué está pasando
Tell us what's happening so we can send the right help fast.|Cuéntanos qué está pasando para enviar la ayuda adecuada rápido.
Tenant occupied|Ocupado por inquilino
Tenant occupied +|Ocupado por inquilino +
The more details you provide, the faster we can diagnose and send the right specialist prepared for your visit.|Cuantos más detalles proporciones, más rápido diagnosticamos y enviamos al especialista preparado para tu visita.
Thermostat|Termostato
Thermostat issue|Problema de termostato
Thermostat type|Tipo de termostato
This helps INDOR prepare the right checklist and find the right provider.|Esto ayuda a INDOR a preparar la lista correcta y encontrar al proveedor adecuado.
This helps INDOR prepare the right checklist and schedule the right provider.|Esto ayuda a INDOR a preparar la lista correcta y agendar al proveedor adecuado.
This helps INDOR prepare the right checklist and send the right provider.|Esto ayuda a INDOR a preparar la lista correcta y enviar al proveedor adecuado.
This helps INDOR prepare the right checklist and the right provider.|Esto ayuda a INDOR a preparar la lista correcta y al proveedor adecuado.
This helps INDOR understand the issue and prepare the right provider.|Esto ayuda a INDOR a entender el problema y preparar al proveedor adecuado.
This helps our crew arrive prepared.|Esto ayuda a que nuestro equipo llegue preparado.
This helps us guide you while help is on the way.|Esto nos ayuda a guiarte mientras la ayuda está en camino.
This step helps the provider plan the visit and focus on the systems that matter to your investment.|Este paso ayuda al proveedor a planificar la visita y enfocarse en los sistemas importantes para tu inversión.
This week|Esta semana
Tile|Teja / azulejo
Time|Hora
Today|Hoy
Toggle text updates|Activar actualizaciones por texto
Toilet|Inodoro
Toilet overflow|Desbordamiento de inodoro
Toilet running|Inodoro corriendo
Track request|Seguir solicitud
Tree leaning|Árbol inclinado
Trip / fall hazard|Riesgo de tropiezo / caída
Triplex|Tríplex
Understand repair risks|Entender riesgos de reparación
Uneven floor|Piso desnivelado
Unit running|Unidad funcionando
Unit type|Tipo de unidad
Unknown|Desconocido
Unknown source|Fuente desconocida
Unsafe conditions now|Condiciones inseguras ahora
Upload photos|Subir fotos
Upstairs hotter +|Arriba más caliente +
Urgency|Urgencia
Urgent|Urgente
Use your camera to capture images|Usa tu cámara para capturar imágenes
Utility risk|Riesgo de servicios
Utility room|Cuarto de servicios
Vacant|Vacante
Verify your structural request details before submitting.|Verifica los detalles de tu solicitud estructural antes de enviar.
Vertical crack|Grieta vertical
View|Ver
View all|Ver todo
View request|Ver solicitud
Visible mold|Moho visible
Visible signs|Signos visibles
Visible symptoms|Síntomas visibles
Wall|Pared
Wall bulging|Pared abombada
Wall crack|Grieta en pared
Wall insulation|Aislamiento de pared
Warm only|Solo tibio
Warm outlet|Toma caliente
Water active|Agua activa
Water after rain|Agua después de lluvia
Water around unit|Agua alrededor de la unidad
Water dripping through ceiling in upstairs hallway after heavy rain. Stain is spreading near the vent.|Agua goteando del techo en pasillo de arriba tras lluvia fuerte. La mancha se extiende cerca de la ventilación.
Water intrusion|Entrada de agua
Water is coming from under the sink and spreading into the kitchen and hallway.|El agua sale de bajo el fregadero y se extiende a cocina y pasillo.
Water leak|Fuga de agua
Water leaking|Agua filtrándose
Water near chimney|Agua cerca de chimenea
Water near foundation|Agua cerca de cimentación
Water near skylight|Agua cerca de claraboya
Water source|Fuente de agua
Water stain|Mancha de agua
Water status|Estado del agua
Water supply line|Línea de suministro de agua
We notify nearby HVAC pros|Notificamos a profesionales HVAC cercanos
Weak airflow|Flujo de aire débil
We're reviewing your request and coordinating the right provider now.|Estamos revisando tu solicitud y coordinando al proveedor adecuado ahora.
What best describes the problem?|¿Qué describe mejor el problema?
What do you notice right now? (Select all that apply)|¿Qué notas ahora mismo? (Selecciona todos los que apliquen)
What equipment do you have?|¿Qué equipo tienes?
What happened|Qué pasó
What is causing the water?|¿Qué está causando el agua?
What is happening right now?|¿Qué está pasando ahora mismo?
What is happening?|¿Qué está pasando?
What is the issue?|¿Cuál es el problema?
What is the main concern?|¿Cuál es la preocupación principal?
What kind of investment is this?|¿Qué tipo de inversión es esta?
What type of HVAC issue is it?|¿Qué tipo de problema HVAC es?
What type of structural issue is it?|¿Qué tipo de problema estructural es?
What type of unit?|¿Qué tipo de unidad?
What would you like us to focus on?|¿En qué te gustaría que nos enfoquemos?
What would you like us to review first? (Optional)|¿Qué te gustaría que revisemos primero? (Opcional)
What's happening with your system?|¿Qué le pasa a tu sistema?
What's the issue?|¿Cuál es el problema?
What's the main issue?|¿Cuál es el problema principal?
When did it start?|¿Cuándo empezó?
When did you notice it?|¿Cuándo lo notaste?
When noticed|Cuándo se notó
Where is it happening?|¿Dónde está ocurriendo?
Where is the detector?|¿Dónde está el detector?
Where is the issue located most?|¿Dónde está ubicado principalmente el problema?
Where is the main shutoff?|¿Dónde está el cierre principal?
Where is the problem?|¿Dónde está el problema?
Where is the water?|¿Dónde está el agua?
Which area needs attention?|¿Qué área necesita atención?
Which components should we review? (Select all that apply)|¿Qué componentes debemos revisar? (Selecciona todos los que apliquen)
Which part needs attention?|¿Qué parte necesita atención?
Who are you?|¿Quién eres?
Whole house|Toda la casa
Whole system|Sistema completo
Whole-house review|Revisión de toda la casa
Why do you need this review?|¿Por qué necesitas esta revisión?
Wide crack|Grieta ancha
Window condensation|Condensación en ventana
Window not closing|Ventana que no cierra
Window sealing issue|Problema de sellado de ventana
Window type|Tipo de ventana
Windows|Ventanas
Won't turn on|No enciende
Worsening cracks|Grietas que empeoran
Yes|Sí
You get a call or update soon|Recibirás una llamada o actualización pronto
